>Ab-16sRNA|CP006768.1:492456-493896
>Ah-16sRNA|CP006883.1:4220720-4222177
>At-16sRNA|AB680827.1:4-1337
>Bc-16sRNA|HG938371.2:2733718-2735162
>Bm-16sRNA|CP007802.1:3327444-3328886
>Bps-16sRNA|CP009538.1:271593-273035
>Cf-16sRNA|CP007557.1:1715575-1717026
>Cj-16sRNA|CP020045.1:37563-38938
>EAEC-16sRNA|CU928145.2:224295-225748
>Et-16sRNA|CP001135.1:169337-170792
>Hh-16sRNA|AE017125.1:956956-958306
>Kp-16sRNA|AP006725.1:16109-17560
>Pa-16sRNA|CP006831.1:722125-723572
>Pf-16sRNA|KY495220.1:12-1458
>Pp-16sRNA|CP001044.1:711488-712930
>Rl-16sRNA|CP007045.1:3582121-3583327
>Rs-16sRNA|AL646053.1:1205247-1206694
>Sm-16sRNA|CP005927.1:571597-573050
>Stm-16sRNA|CP006048.1:4031463-4032916
>Vc-16sRNA|CP001233.1:53809-55263
>Vp-16sRNA|BA000031.2:2885609-2887073
>Xc-16sRNA|AE008923.1:4580125-4581572
>Xp-16sRNA|CP012063.1:4526168-4527615
>Ye-16sRNA|CP009456.1:3685443-3686897
>Yp-16sRNA|CP009973.1:1608992-1610446
>Yps-16sRNA|CP000720.1:159806-161260
